;;;;осредненные параметры;;;На конец режима;;;;;;;Стандартные условия;;;;Линейные условия;;;;;;;;;;;;;;;
;;Глубина манометра;Dшт;Руст;Рзаб;Pлин;Руст;Рзаб;Рлин;Туст;Тна шлейфе;Тзаб;Tлин;Дебит газа;Дебит ст. конд.;Дебит воды;Дебит смеси;Дебит гааз;Дебит кон нестабильный;Дебит воды;Нэф;Рпл. Тек (послед точка на КВД);Рпл. Тек (Расчет по КВД);Рпл. Тек (Карноухов);Pсб;Pсб;Ro_g;Ro_c;Ro_w;Удельная плотность газа ;G_total;КГФ;КГФ
№;дд.мм.гггг;м;мм;бара;бара;бара;бар;бар;бар; С; С; С; С;1000 м3/сут;м3/сут;м3/сут;1000 м3/сут;м3/сут;м3/сут;м3/сут;м;МПа;МПа;МПа; атм; бар;кг/м3;кг/м3;кг/м3;б/р;кг/с;г/м3;т/тыс.м3
804;05.06.08;3576,30;7,94;249,60;370,10;101,80;249,00;359,60;101,80;53,00;31,70;103,20;32,50;214,70;83,60;0,40;231,25;1610,37;131,30;0,40;56,80;45,25;56,50;-;93,60;92,38;0,8060;801,0;1000,0;0,6694;2,78;311,91;
804;06.06.08;3576,30;9,53;233,50;364,60;101,30;231,00;338,10;102,40;58,80;37,60;103,00;38,60;290,59;104,70;1,40;309,00;2310,23;158,50;1,40;56,80;45,25;56,50;-;92,90;91,69;0,8060;801,0;1000,0;0,6694;3,70;288,60;
804;07.06.08;3576,30;11,11;213,40;357,10;101,60;211,00;314,80;100,60;63,60;42,80;102,60;43,40;368,04;114,30;1,90;388,11;3039,49;172,30;1,90;56,80;45,25;56,50;-;91,40;90,20;0,8060;801,0;1000,0;0,6694;4,52;248,79;
804;08.06.08;3576,30;12,70;191,60;347,40;98,40;187,00;291,50;99,00;64,70;46,20;102,00;46,10;434,66;121,30;3,30;455,21;3824,08;181,50;3,30;56,80;45,25;56,50;-;89,20;88,03;0,8060;801,0;1000,0;0,6694;5,22;223,56;
804;09.06.08;3576,30;14,29;171,90;337,70;99,20;169,00;270,30;99,50;64,00;49,40;104,40;49,90;483,28;129,80;4,60;504,59;4299,10;190,60;4,70;56,80;45,25;56,50;-;89,70;88,53;0,8060;801,0;1000,0;0,6694;5,77;215,15;
804;17.06.11;3576,30;9,53;199,50;286,40;106,36;199,50;286,60;106,19;57,50;38,80;102,64;38,98;251,70;76,80;0,60;268,90;1921,00;119,00;0,60;56,80;41,22;48,30;-;90,70;89,51;0,8127;789,8;1000,0;0,6750;3,08;241,13;
807;16.09.04;3590,00;7,93;284,32;391,82;-;284,32;391,82;-;46,00;-;102,80;-;198,90;70,60;0,00;206,06;-;-;-;57,20;41,88;52,30;51,70;;#ЗНАЧ!;;;;;;;
807;16.09.04;3590,00;11,11;270,94;384,22;-;270,94;384,22;-;56,00;-;102,90;-;341,50;129,30;0,10;354,65;-;-;-;57,20;41,88;52,30;51,70;;#ЗНАЧ!;;;;;;;
807;17.09.04;3590,00;14,28;245,51;371,91;-;245,51;371,91;-;63,00;-;103,00;-;569,70;204,40;0,80;586,17;-;-;-;57,20;41,88;52,30;51,70;;#ЗНАЧ!;;;;;;;
807;17.09.04;3590,00;17,46;209,64;346,19;-;209,64;346,19;-;65,00;-;103,30;-;692,60;202,70;1,20;712,62;-;-;-;57,20;41,88;52,30;51,70;;#ЗНАЧ!;;;;;;;
807;09.05.07;3667,00;7,94;252,00;354,33;102,93;252,00;354,20;101,57;56,00;-;105,30;33,00;234,86;56,07;0,00;261,28;1807,40;90,40;0,00;57,20;38,74;50,86;50,10;100,90;99,58;;787,00;;0,66;;;0,188
807;10.05.07;3667,00;9,53;250,00;350,20;103,19;250,00;349,10;103,32;61,00;-;105,20;39,06;326,22;73,89;0,00;362,08;2532,40;118,00;0,00;57,20;38,74;50,86;50,10;100,10;98,79;;787,00;;0,66;;;0,178
807;11.05.07;3667,00;11,11;240,00;344,00;105,67;240,00;344,10;105,59;65,00;-;105,20;44,90;429,72;92,13;1,01;476,20;3392,30;146,00;1,00;57,20;38,74;50,86;50,10;102,00;100,67;;787,00;;0,66;;;0,169
807;12.05.07;3667,00;12,70;228,00;336,70;108,10;228,00;343,00;108,14;42,00;-;105,10;49,84;532,28;109,81;1,38;589,14;4228,80;175,50;1,40;57,20;38,74;50,86;50,10;103,80;102,44;;787,00;;0,66;;;0,162
807;18.08.09;3579,00;7,94;259,61;365,86;103,47;259,00;365,90;101,42;52,00;27,20;105,90;28,09;243,64;70,73;1,14;257,64;1713,80;117,30;1,20;62,57;41,23;-;-;93,20;91,98;;793,70;;0,66;;;0,23
807;22.08.09;3579,00;9,53;239,42;342,27;103,20;239,00;342,30;104,18;58,00;34,60;105,70;35,10;313,85;79,58;1,66;327,84;2353,50;129,70;1,70;62,57;41,23;-;-;92,00;90,80;;793,70;;0,66;;;0,201
807;26.08.09;3579,00;11,11;213,43;312,27;103,19;212,00;312,30;103,00;61,00;41,20;105,20;41,11;395,00;85,50;2,59;410,02;3085,50;139,70;2,70;62,57;41,23;-;-;93,70;92,47;;793,70;;0,66;;;0,172
807;30.08.09;3579,00;12,70;194,24;291,74;103,23;194,00;291,70;103,92;62,00;43,70;104,50;44,14;435,04;86,21;3,16;449,65;3534,40;137,70;3,20;62,57;41,23;-;-;89,60;88,43;;793,70;;0,66;;;0,157
807;03.09.09;3579,00;14,29;166,00;263,03;107,38;166,00;263,00;107,54;63,00;49,20;103,40;49,75;494,59;88,07;3,51;509,05;4071,60;142,20;3,60;62,57;41,23;-;-;90,30;89,12;;793,70;;0,66;;;0,141
807;09.09.11;3582,50;9,53;206,00;292,00;105,51;206,00;292,00;105,03;56,00;37,40;104,60;37,79;273,40;59,90;0,80;285,54;2085,00;94,00;0,70;62,60;;49,70;;92,10;90,90;;783,00;;0,67;;;0,172
20503;03.10.07;3653,00;7,94;323,10;440,50;108,89;314,00;442,70;99,17;37,00;14,00;105,42;16,20;310,78;150,07;1,20;337,72;1784,00;492,80;2,50;63,60;53,27;56,70;56,80;99,40;98,10;0,7874;798,0;1000,0;0,6540;4,23;385,42;
20503;04.10.07;3653,00;9,53;272,69;388,70;89,65;268,00;388,60;86,75;48,00;21,00;105,32;22,03;375,37;138,98;0,86;398,40;3127,00;238,30;1,00;63,60;53,27;56,70;56,80;99,70;98,40;0,7874;798,0;1000,0;0,6540;4,71;295,50;
20503;05.10.07;3653,00;12,70;202,15;308,80;97,88;197,00;308,70;92,46;54,00;35,00;105,22;35,41;473,78;151,79;0,70;496,81;3895,70;245,00;0,80;63,60;53,27;56,70;56,80;99,20;97,90;0,7874;798,0;1000,0;0,6540;5,73;255,68;
20503;06.10.07;3653,00;14,29;165,85;270,50;79,95;162,00;270,40;81,15;52,00;34,00;105,12;33,83;488,09;143,15;0,43;509,73;5129,00;221,20;0,40;63,60;53,27;56,70;56,80;98,90;97,61;0,7874;798,0;1000,0;0,6540;5,78;233,96;
20503;07.10.07;3653,00;15,88;138,87;239,30;80,73;136,00;239,30;79,54;51,00;38,00;105,02;37,26;492,51;137,68;0,41;513,33;5235,60;209,70;0,40;63,60;53,27;56,70;56,80;100,80;99,48;0,7874;798,0;1000,0;0,6540;5,76;223,11;
